timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1681660654355,193,https://eticket.railway.gov.bd/en-31,200,OK,Thread Group 1-1,text,true,,30040,543,1,1,https://maxcdn.bootstrapcdn.com/bootstrap/3.1.0/js/bootstrap.min.js,184,0,126
1681660654381,50,https://eticket.railway.gov.bd/en-32,200,OK,Thread Group 1-1,text,true,,34700,572,1,1,https://cdnjs.cloudflare.com/ajax/libs/bootstrap-datepicker/1.9.0/js/bootstrap-datepicker.min.js,47,0,29
1681660654407,74,https://eticket.railway.gov.bd/en-33,200,OK,Thread Group 1-1,text,true,,229537,547,1,1,https://cdnjs.cloudflare.com/ajax/libs/jqueryui/1.10.4/jquery-ui.min.js,53,0,31
1681660654409,234,https://eticket.railway.gov.bd/en-34,200,OK,Thread Group 1-1,text,true,,6616,1421,1,1,https://d19qjkjk65tfln.cloudfront.net:443/js/modernizr.custom.2.6.2.min.js,77,0,0
1681660654409,77,https://eticket.railway.gov.bd/en-0,301,Moved Permanently,,text,true,,381,871,0,0,https://eticket.railway.gov.bd/js/modernizr.custom.2.6.2.min.js,77,0,0
1681660654487,156,https://eticket.railway.gov.bd/en-1,200,OK,ResDownload-Thread-8,text,true,,6235,550,0,0,https://d19qjkjk65tfln.cloudfront.net:443/js/modernizr.custom.2.6.2.min.js,156,0,33
1681660654432,383,https://eticket.railway.gov.bd/en-35,200,OK,Thread Group 1-1,text,true,,4974,1407,1,1,https://d19qjkjk65tfln.cloudfront.net:443/js/jquery.meanmenu.min.js,79,0,0
1681660654432,79,https://eticket.railway.gov.bd/en-0,301,Moved Permanently,,text,true,,374,864,0,0,https://eticket.railway.gov.bd/js/jquery.meanmenu.min.js,79,0,0
1681660654511,304,https://eticket.railway.gov.bd/en-1,200,OK,ResDownload-Thread-4,text,true,,4600,543,0,0,https://d19qjkjk65tfln.cloudfront.net:443/js/jquery.meanmenu.min.js,304,0,31
1681660654482,523,https://eticket.railway.gov.bd/en-36,200,OK,Thread Group 1-1,text,true,,229958,532,1,1,https://www.googletagmanager.com/gtag/js?id=G-Y4CW6X15DG,231,0,142
1681660655222,269,https://eticket.railway.gov.bd/booking/train/search-route?fromcity=Dhaka&tocity=Chattogram&doj=17-Apr-2023&class=AC_CHAIR,200,OK,Thread Group 1-1,text,true,,698,801,1,1,https://eticket.railway.gov.bd/booking/train/search-route?fromcity=Dhaka&tocity=Chattogram&class=AC_CHAIR&doj=17-Apr-2023,269,0,0
